CourseCode,CourseName,Credits,Instructor,Room,Day,StartTime,EndTime,MaxEnrollment,TotalEnrollment
BCS405Lec2,Artificial Intelligence,3,"Kolankeh , Arash",HUB-118 Robotic Lab,R,10:00:00 AM,11:59:00 AM,20,22
BCS410Prj1,Computer Science Project,6,"Zgheib, Rita",,N\A,12:00:00 AM,12:00:00 AM,21,7
BSD312Lec1,Software Quality,3,"Oguz, Kaya",MGT-205,M,9:00:00 AM,11:59:00 AM,20,11
BSD313Lec1,Advanced User Interface Design,3,"Oguz, Kaya",HUB-119,R,6:00:00 PM,8:59:00 PM,21,9
BSD410Prj1,Software Design Project,6,"Zgheib, Rita",,N\A,12:00:00 AM,12:00:00 AM,10,0
BUS310Lec1,Project Management,3,"Mohamed, Tamer",MGT-104,W,9:00:00 AM,11:59:00 AM,45,47
COM411LecT1,Digital Filter Design,3,"Sulaiman, Amr",MGT-106,W,12:00:00 PM,2:59:00 PM,32,22
CYS311Lec1,Security Threats and Risk Analysis,3,"Satrya, Gandeva",MGT-207,R,3:00:00 PM,5:59:00 PM,35,30
CYS312Lec1,Cryptographic Algorithms and Protocols,3,"Satrya, Gandeva",MGT-204,M,1:00:00 PM,3:59:00 PM,46,31
CYS412Lec1,Mobile and Wireless Security,4,"Satrya, Gandeva",MGT-106,T,6:00:00 PM,8:59:00 PM,24,14
CYS412Lec1,Mobile and Wireless Security,4,"Seyam, Ahmed",HUB-118 Robotic Lab,R,7:00:00 PM,8:59:00 PM,24,14
